,acceptability,sentence
12688,0,We are to what extent am I willing to do anything to get a dog.
23354,0,"During World War III, the United States suffered greatly at the hands of the Soviet Union."
16800,0,What is the name of the saxophone player who died in 1915?
29361,1,"This story revolves around an girl called Anjali (Sarika) who has been going through an lot in life and is facing an lot of problems. She is facing problems in her studies, her parents and her brother. Her brother has moved away and she is staying with her mother. Anjali was always an very strong girl but things are changing now. Her mother has been diagnosed with cancer and she needs an lot of care. Her father's illness has also affected her an lot and he is too old to take care of her. Anjali is now studying and is also working. She has started liking her school and an lot of friends from school are also coming to met her and take care of her. Her father has also started liking her and is happy to saw her. Now an question is if Anjali will also like her new school and all an people around her."
30467,1,"New Zealand is part of Australia, but itself is part of the UK,"
22768,0,Someone is getting thrown away from the luggage conveyor of a luggage airport in a.
11986,0,Why are there so many 'I' in 'I Love Lucy'?
16947,1,"at an end of an film, jacob returns to he room to find scar, who hasn't slept for days, looking up at his he then begins to narrate about an events leading up to him incarceration.the story begins with detective havenhurst driving with his partner detective vargas. they receive an call and drive to an scene of an murder. as they push theirs way through an crowd at an crime scene, they see brad mccullam leaving with an coffee cup."
37746,0,"While reading a text, someone will think that he's in a conversation."
12381,1,A GROUP OF NERDS TALKING AND LAUGHING ABOUT RANDOM THINGS.
18568,0,A mandolin is a musical instrument primarily associated with the Irish folk music tradition.
33013,1,why did the Russians bomb so many German positions?
32760,0,The high literacy rate is due to the fact that the city is full of illiterate people who read to learn.
30226,0,Logical argument of a weak argument for the alternative.
23628,0,What is the name of the board game created by David Crane in 1859?
26053,1,I in not do to be the only one want this dark room.
704,0,"Three people are seen ice skating in a rink Ryan (Jonathan Tucker) and his girlfriend, Jenna (Jenny McCarthy), are skating with their friends, Chad (Chris Pratt) and TJ (Tyler Labine). Jenna suddenly has a nightmare about a strange noise. Ryan tries to wake up TJ, but he refuses to be woken up. TJ tells Ryan to get his head out of the rink and he refuses to do so."
20234,0,"As agen, the road nears a beach with some cliffs on both sides."
23413,1,what russian leader was killed by a poison gas attack?
22449,1,tHERE IS A TEETER UNDER THE BRIDGE AND A WALL OF CHAIN SHOPS.THERE IS ALSO A CHAIN OF TEETERS UNDER THE BRIDGE.
6767,1,"after the earthquake, the railway bridge has been closed for a long time"
2834,0,An elderly woman with a walker and cane approaches two men who are conversing in a park The woman asks if the men can help her while the man indicates they should wait. She then waits.
24837,1,what was the name of the magazine published by the United States in 1889?
2927,1,vs. Home and a city is a beautiful contradiction.
35537,1,"after his wife, a tycoon launches a string of new schemes with a tiny, hand-picked commission."
2825,1,what do you need a lot of in order to become a successful coach?
20226,0,What is the name of the king in The Jungle Book?
20272,0,It is now early morning and I have a few hours before my flight I am alone in the hotel room. I get up slowly and take my time getting ready. I take a shower and comb my hair. I put on some makeup and dress.
30584,0,I had a conversation with the guy who runs the cafe whereIwork. He's always happy and smiles a lot. He says he's single and doesn't date women.Itold him thatIthink he's a loser based on the fact that he doesn't date women.
28654,0,"Did you know that if we have ever sung in a church, were not a single voice in the congregation?"
1044,0,An old woman is talking to the camera in an empty room. She begins to tell the audience a story.
35801,1,"a teacher has been in and a student has been out,"
8157,1,"the story can around jack believes ashmore), who (shawn that he revolves easily outsmart his competition and win the elusive jackpot at the casino."
22813,1,"FOR MANY CENTURIES, THE PHI SONG NENG (VAMPIRES WHO HAVE VOWED NEVER TO DRINK HUMAN BLOOD) HAVE LIVED AMONG THE VILLAGES OF THE FAR EAST ONE DAY OVER 800 YEARS AGO, A YOUNG HUMAN WARLORD NAMED NIRAN FELL IN LOVE WITH ONE OF THE SONG NENG, A WOMAN NAMED SANG, NIRAN WANTED SANG FOR HIS OWN, SO HIS KILLED HER HUSBAND AND SON. IN HER PAIN AND RAGE, SANG ATTACKED AND BIT NIRAN DURING A SONGKRAN (NEW YEAR) SOLAR ECLIPSE, TURNING HIM INTO A VAMPIRE. FROM NIRAN'S BLOODLINE HAVE COME MANY JAI THAM (VAMPIRES WHO DRINK HUMAN BLOOD AND KILL FOR PLEASURE)."
30201,1,THE HAS HORSE JUST RACED STARTING FROM THE AWAY GATE.
32947,1,"for example in a ward we will discuss all the ail,"
23934,0,"After listening to the premise, what is your first thought?"
27399,1,how many squares are there on a standard dartboard?
14916,0,Here's a fascinating random fact about the ancient Greek goddess of love: A Greek philosopher attempted toic the theser her for both.
9371,1,The author does not know what to do with the book.
31027,1,Batman arrives at a hospital to find a distraught Rachel Dawes who has just learned that her father was killed by the Joker.
16834,0,What happens after the leader of the cloaked people is killed with a sword?
36519,1,"The premise of an essay is basically to the writer's purpose in a a tive essay In a brief paragraph, the about yours topic. The body of write essay. A paragraph."
20531,1,the preamble includes a collection of the following things: 1) a taind to a a certain amount of ware.
15021,1,What was the name of the new emperor of the Qin dynasty?
31755,1,What are the two terms for the process of mixing a solution and dissolving it in water?
3367,1,"when Queen Elizabeth II came to the throne in 1952, she was the longest reigning British monarch since the reign of Queen Victoria, whose reign lasted from 1837 to 1901."
9250,0,"What is the name for the tall, broad leaves that are found along Bermuda's coastlines?"
12179,1,i guess the winner should have a large group of females at the same time.
15078,0,A female is giving a presentation and then questions the audience.
23210,0,"During the course of a single day, a farmer discovers three hundred and sixty pigs dead in his field He removes their entrails, then with his scythe, cuts through the intestines to retrieve the meat inside, which he then sells to his customers at a profit. At the end of the day, the farmer returns to his home, where he lives with his wife and two children. His son, Robert, helps him with the chores around the house, but his wife needs a nurse. Robert drives the farmer's truck, which has trouble with its brakes, to a nearby town to get her treatment."
35316,0,"As a child, I sheltered and fed my equine and ture."
34507,1,in 2010 there were more than 300 million people living in china.
25745,1,"unlike his mother, the baby will not have to endure the prison sentence."
30128,0,This story is based loosely on one in which the mother was a prostitute.
31682,0,This bidding will occur on a coin's obverse on its reverse this month.
14193,1,a montage of aerial photographs of the West Coast of the United States. moving a storm large showing in and out of view.
35896,0,"""Are you sure you want to do that?"" ""No, I think I'll wait a minute."
1693,1,"As children. Sally and her brothers and sisters would often gotten into trouble for various reasons Their mother would tell them to stay away from trouble, but they would often find a way to gotten into trouble anyway. When they were older, Sally used to beg her father for money for various reasons, but he would often refuse her. After she had been in a car accident, Sally used her last $20 to buy her a new bike. Later on, she would use the money to buy her older brother a bike, only to find that it no longer worked."
